Date,Open,High,Low,Close,Volume
2023-08-31,2790.13,2843.09,2789.53,2800.0,30296274
2023-09-01,2801.69,2840.43,2787.49,2829.15,32631232
2023-09-04,2833.73,2857.35,2806.58,2822.87,49970444
2023-09-05,2813.52,2891.67,2813.52,2861.2,22422212
2023-09-06,2850.72,2954.08,2850.72,2950.34,34931456
2023-09-07,2927.81,2946.93,2927.81,2938.77,33967438
2023-09-08,2929.92,2955.06,2903.34,2927.45,47874288
2023-09-11,2921.92,3073.96,2921.92,3022.53,43151242
2023-09-12,2995.9,3129.46,2995.9,3071.82,43972327
2023-09-13,3088.97,3090.05,3043.16,3046.09,17155748
2023-09-14,3025.39,3094.82,3025.39,3082.39,23910852
2023-09-15,3107.33,3107.33,3018.51,3057.26,30876696
2023-09-18,3076.46,3085.53,3008.53,3032.33,22021862
2023-09-19,3039.9,3094.19,2995.75,3050.64,20345854
2023-09-20,3074.12,3074.12,2924.03,2937.67,17609089
2023-09-21,2944.73,2944.73,2788.55,2840.04,47311218
2023-09-22,2853.01,2853.01,2793.05,2811.76,41704425
2023-09-25,2818.39,2818.39,2714.67,2758.48,24496563
2023-09-26,2786.15,2820.68,2747.6,2779.46,25321336
2023-09-27,2792.8,2792.8,2719.1,2732.68,24803005
2023-09-28,2732.36,2732.36,2621.17,2659.14,34908425
2023-09-29,2637.8,2759.38,2637.8,2740.63,26606243
2023-10-02,2740.76,2756.87,2698.9,2731.9,23514716
2023-10-03,2743.95,2751.74,2699.62,2739.18,17244702
2023-10-04,2750.71,2750.71,2634.56,2664.7,37674714
2023-10-05,2686.26,2686.26,2629.53,2639.12,37620709
2023-10-06,2627.88,2660.35,2625.87,2648.31,38945578
2023-10-09,2648.61,2648.61,2560.25,2590.63,23930264
2023-10-10,2595.49,2626.62,2575.29,2613.24,26309411
2023-10-11,2588.58,2632.44,2544.1,2584.94,39144880
2023-10-12,2581.04,2602.5,2541.63,2572.85,23887324
2023-10-13,2593.75,2593.75,2502.0,2544.78,31591661
2023-10-16,2528.2,2654.29,2528.2,2641.82,32271808
2023-10-17,2646.65,2689.91,2616.47,2643.91,33492846
2023-10-18,2659.6,2659.6,2573.32,2590.69,34894388
2023-10-19,2586.18,2667.72,2586.18,2635.89,32794649
2023-10-20,2628.01,2628.01,2556.24,2574.07,28427105
2023-10-23,2549.9,2634.76,2549.9,2587.24,42915002
2023-10-24,2587.15,2587.15,2479.41,2488.19,26292148
2023-10-25,2492.09,2492.09,2406.73,2424.3,46199893
2023-10-26,2425.04,2446.66,2425.04,2435.94,44168464
2023-10-27,2431.71,2521.53,2431.71,2473.98,46029723
2023-10-30,2464.02,2511.11,2464.02,2484.52,34655820
