Date,Open,High,Low,Close,Volume
2023-08-31,398.59,406.16,398.5,400.0,45296274
2023-09-01,400.24,409.09,400.24,407.46,47631232
2023-09-04,408.12,411.0,403.7,406.04,73548158
2023-09-05,402.31,419.83,402.31,415.82,66418225
2023-09-06,416.25,442.6,416.25,438.61,72321932
2023-09-07,435.46,441.67,434.94,435.7,41643208
2023-09-08,435.46,439.42,427.69,432.84,54012790
2023-09-11,436.05,464.77,436.05,457.5,79819579
2023-09-12,459.67,479.67,459.67,470.59,33609736
2023-09-13,474.55,474.55,460.2,463.71,42225855
2023-09-14,460.3,478.82,460.3,473.38,32155748
2023-09-15,470.25,470.25,465.09,466.61,38910852
2023-09-18,470.36,470.36,454.09,459.92,45876696
2023-09-19,462.86,472.89,461.09,464.74,37021862
2023-09-20,465.81,465.81,426.74,434.56,66640608
2023-09-21,432.37,432.37,405.11,409.22,68438112
2023-09-22,405.74,405.74,397.75,402.02,74132455
2023-09-25,405.44,405.44,387.71,388.62,41630982
2023-09-26,385.99,399.47,385.99,393.72,45586926
2023-09-27,396.73,396.73,377.97,382.04,61556003
2023-09-28,383.55,383.55,358.5,363.97,71108406
2023-09-29,365.62,384.52,365.62,383.42,71259524
2023-10-02,385.87,387.89,378.6,381.21,35397662
2023-10-03,382.0,385.82,379.42,382.92,39828366
2023-10-04,380.94,380.94,363.53,364.63,45043403
2023-10-05,365.33,365.33,358.35,358.44,42920739
2023-10-06,357.33,364.49,357.33,360.57,71758730
2023-10-09,358.68,358.68,344.41,346.78,37395350
2023-10-10,344.34,355.29,344.34,352.04,64809996
2023-10-11,350.35,350.35,344.64,345.34,61549031
2023-10-12,345.78,348.46,336.1,342.49,69302467
2023-10-13,343.5,343.5,335.78,335.93,54144880
2023-10-16,335.39,362.48,335.39,358.35,38887324
2023-10-17,361.29,361.29,352.81,358.84,46591661
2023-10-18,356.67,356.67,345.07,346.21,70225750
2023-10-19,346.35,363.37,346.35,356.8,65981972
2023-10-20,354.79,354.79,337.09,342.19,58088632
2023-10-23,341.48,345.31,341.48,345.28,56395160
2023-10-24,345.06,345.06,316.24,322.19,43427105
2023-10-25,319.32,319.32,304.14,307.76,57915002
2023-10-26,307.75,311.26,307.75,310.39,41292148
2023-10-27,310.9,324.76,310.9,318.92,61199893
2023-10-30,319.02,322.77,319.02,321.36,59168464
2023-10-31,320.81,326.74,319.62,320.58,61029723
2023-11-01,319.3,321.12,316.54,317.72,49655820
2023-11-02,319.53,319.53,299.21,301.79,54210749
2023-11-03,299.06,299.06,293.55,294.67,44246173
2023-11-06,293.48,295.26,286.99,290.4,76962034
2023-11-07,290.04,304.35,290.04,301.62,73542641
2023-11-08,299.19,308.78,299.19,305.74,56791175
2023-11-09,305.01,305.01,281.95,287.39,51988809
2023-11-10,289.14,296.36,288.07,291.13,73728950
2023-11-13,292.05,292.05,283.59,287.71,79267520
2023-11-14,286.0,286.0,279.97,281.39,53656190
2023-11-15,283.12,288.03,283.12,287.92,58645954
2023-11-16,289.24,304.14,289.24,298.83,66249378
2023-11-17,301.03,310.64,301.03,309.13,38997354
2023-11-20,306.97,306.97,294.96,300.64,30611213
2023-11-21,297.74,299.72,292.63,297.98,61712006
2023-11-22,295.7,306.47,295.7,302.03,36202258
2023-11-23,304.48,316.61,304.48,312.96,51232430
2023-11-24,314.96,314.96,306.29,308.37,45823554
2023-11-27,309.13,310.65,305.38,307.03,43579173
2023-11-28,309.16,309.16,293.67,295.81,33266402
2023-11-29,293.77,293.77,279.75,284.09,69054025
2023-11-30,283.92,296.14,283.92,292.82,73946719
2023-12-01,291.4,310.03,291.4,307.41,74599847
2023-12-04,305.68,311.67,304.9,307.37,49023125
2023-12-05,307.53,324.24,307.53,318.91,45985249
2023-12-06,321.6,325.5,321.6,323.74,65974996
2023-12-07,320.99,322.41,314.08,317.24,76365848
2023-12-08,314.71,325.26,314.71,322.06,70345400
2023-12-11,320.36,342.03,320.36,340.22,64780908
2023-12-12,343.05,345.21,339.48,340.68,64954715
2023-12-13,339.62,365.77,339.62,360.22,53631669
2023-12-14,360.9,360.9,327.59,328.14,77133465
2023-12-15,327.71,338.9,327.71,338.44,69787171
2023-12-18,338.89,345.25,338.34,340.36,61354977
2023-12-19,337.89,340.37,331.25,337.69,48409209
2023-12-20,338.34,339.87,337.88,339.66,49545578
2023-12-21,337.47,337.47,310.86,316.92,52708377
2023-12-22,315.98,318.29,313.13,315.3,58104320
2023-12-25,314.89,323.22,314.89,320.05,58356738
2023-12-26,323.21,337.94,323.21,337.42,52564965
2023-12-27,334.71,336.06,329.74,332.14,77517690
2023-12-28,333.37,333.37,318.45,323.56,54376816
2023-12-29,325.94,325.94,315.2,318.66,71601684
2024-01-01,319.56,334.63,319.56,329.62,51689432
2024-01-02,326.63,338.5,326.63,334.18,65119150
2024-01-03,337.46,337.46,324.87,328.74,68360857
2024-01-04,325.61,339.17,325.61,335.36,72607220
2024-01-05,332.77,342.15,332.77,337.22,59061846
2024-01-08,334.11,354.91,334.11,349.35,38670178
2024-01-09,346.19,346.19,335.81,341.47,40822814
2024-01-10,341.34,341.34,334.42,338.22,72942594
2024-01-11,339.72,339.72,331.94,334.21,42267883
2024-01-12,334.45,334.45,312.58,317.69,53215061
2024-01-15,320.17,323.59,317.51,321.54,57866537
2024-01-16,321.29,330.71,321.29,325.01,55625121
2024-01-17,325.2,325.73,319.9,325.59,36733215
2024-01-18,322.42,329.45,322.42,323.42,54948764
2024-01-19,323.3,323.3,305.4,307.88,40760888
2024-01-22,307.26,307.31,302.13,303.78,79464216
2024-01-23,305.18,305.18,297.42,300.56,44372528
2024-01-24,299.31,299.31,290.44,292.51,77173924
2024-01-25,295.35,295.35,291.13,291.23,55332296
2024-01-26,289.01,296.35,289.01,295.71,44133434
2024-01-29,293.11,321.57,293.11,315.58,78665285
2024-01-30,316.22,324.11,312.25,317.87,47336140
2024-01-31,315.07,327.44,315.07,321.09,77052359
2024-02-01,321.78,326.64,316.43,320.6,77089005
2024-02-02,318.93,318.93,298.35,299.41,47803769
2024-02-05,296.76,304.12,296.76,299.45,31514542
2024-02-06,300.03,301.69,297.28,300.39,70400624
2024-02-07,302.08,327.73,302.08,326.6,66595773
2024-02-08,326.36,331.2,318.9,324.73,51765239
2024-02-09,327.33,333.41,327.33,328.49,33229028
2024-02-12,326.95,329.03,322.67,328.43,49391451
2024-02-13,330.65,330.65,315.06,315.34,47920169
2024-02-14,315.67,333.6,315.67,328.29,68060986
2024-02-15,324.95,339.17,324.95,337.28,65280122
2024-02-16,334.37,352.0,334.37,346.98,36155579
2024-02-19,350.29,350.29,330.3,336.32,76263335
2024-02-20,339.19,359.45,339.19,353.21,67877058
2024-02-21,353.65,353.65,331.73,336.29,36026988
2024-02-22,338.82,348.63,338.82,343.59,76860379
2024-02-23,345.13,376.64,345.13,370.34,68175082
2024-02-26,367.52,367.52,351.3,357.96,79352346
2024-02-27,360.63,360.63,350.2,351.31,47486878
2024-02-28,350.15,358.81,350.15,352.98,69227037
2024-02-29,353.37,353.53,347.21,347.22,58500556
2024-03-01,345.82,345.82,328.79,328.83,62435245
2024-03-04,326.3,332.21,326.3,330.06,37281505
2024-03-05,331.84,331.84,314.79,318.23,38989138
2024-03-06,321.23,328.87,320.43,323.94,36555035
2024-03-07,321.44,321.44,308.11,313.96,38067987
2024-03-08,312.64,335.98,312.64,331.42,51677072
2024-03-11,331.25,331.25,318.22,322.79,77439893
2024-03-12,325.17,325.17,319.3,319.59,50353727
2024-03-13,320.57,333.58,320.57,329.13,32773939
2024-03-14,326.12,326.12,315.24,315.4,77718021
2024-03-15,313.82,320.69,313.11,318.33,34421590
2024-03-18,321.64,336.28,321.64,333.31,48495440
2024-03-19,333.48,333.48,309.6,314.98,56552476
2024-03-20,316.72,319.31,312.08,317.41,78548947
2024-03-21,320.31,324.89,318.94,320.69,74808939
2024-03-22,323.39,330.05,323.39,329.84,78943187
2024-03-25,332.9,332.9,314.2,315.93,43245696
2024-03-26,317.42,317.42,297.31,301.68,67571568
2024-03-27,303.92,311.51,303.92,307.5,49155151
2024-03-28,305.66,314.37,305.66,310.99,77123764
2024-03-29,311.19,314.97,311.16,314.01,39607366
2024-04-01,311.03,322.07,311.03,318.08,61247234
2024-04-02,314.98,314.98,307.89,310.77,49659206
2024-04-03,310.33,314.3,309.22,313.52,59163439
2024-04-04,314.04,320.06,314.04,316.94,44467188
2024-04-05,319.94,319.94,306.53,309.21,68464208
2024-04-08,308.5,329.64,308.5,329.56,78055661
2024-04-09,330.61,341.71,330.34,335.18,60319320
2024-04-10,332.22,332.22,316.32,321.33,78018519
2024-04-11,321.8,329.78,321.8,328.82,41779534
2024-04-12,330.11,330.11,313.76,317.69,73721639
2024-04-15,317.81,326.57,317.81,326.51,71839392
2024-04-16,328.71,345.79,328.71,339.79,57050901
2024-04-17,337.82,337.82,323.61,330.06,54455289
2024-04-18,327.79,346.67,327.79,341.2,76462256
2024-04-19,343.95,352.71,343.95,346.13,34409352
2024-04-22,346.42,362.73,346.42,356.07,55492849
2024-04-23,357.02,386.77,357.02,379.67,39331795
2024-04-24,376.51,378.91,370.22,376.36,48003027
2024-04-25,378.44,378.44,361.99,366.37,42681730
2024-04-26,365.93,365.93,353.73,354.89,56098641
2024-04-29,352.54,352.54,342.98,344.68,57346162
2024-04-30,343.56,345.18,336.97,343.68,73992967
2024-05-01,340.5,353.77,340.5,347.7,53289643
