Date,Open,High,Low,Close,Volume
2023-08-31,79.72,81.23,79.7,80.0,23296274
2023-09-01,80.05,80.93,79.42,80.61,13347417
2023-09-04,80.62,81.7,80.32,80.46,17993726
2023-09-05,79.73,82.05,79.73,81.27,10863793
2023-09-06,81.35,83.91,81.35,83.16,16767500
2023-09-07,82.56,84.04,82.56,82.91,19643208
2023-09-08,82.86,83.92,81.67,82.66,18713405
2023-09-11,83.39,85.93,83.39,84.67,11609736
2023-09-12,85.4,86.05,85.05,85.7,20225855
2023-09-13,85.08,86.13,83.72,85.15,10155748
2023-09-14,84.58,86.26,84.58,85.91,16910852
2023-09-15,86.61,86.61,84.3,85.38,23876696
2023-09-18,85.92,86.35,84.2,84.86,15021862
2023-09-19,85.07,86.46,83.71,85.25,11086176
2023-09-20,84.8,84.8,82.05,82.88,12883680
2023-09-21,82.18,82.18,79.96,80.81,18578023
2023-09-22,81.52,81.52,80.03,80.21,19630982
2023-09-25,79.69,80.23,77.98,79.08,23586926
2023-09-26,79.7,80.51,78.68,79.53,21904421
2023-09-27,79.97,79.97,77.42,78.53,18750240
2023-09-28,78.93,78.93,76.07,76.95,15583354
2023-09-29,77.0,79.9,77.0,78.72,24413486
2023-10-02,78.55,79.86,78.33,78.53,9805468
2023-10-03,78.39,79.54,77.92,78.69,13525633
2023-10-04,78.79,78.79,76.16,77.09,15726890
2023-10-05,77.79,77.79,75.27,76.53,11386501
2023-10-06,77.22,77.35,76.03,76.73,9255564
2023-10-09,76.37,76.37,75.33,75.48,18440139
2023-10-10,75.92,76.13,74.58,75.98,20583038
2023-10-11,76.14,76.14,74.49,75.36,17688053
2023-10-12,75.87,75.87,74.94,75.09,24591661
2023-10-13,74.63,74.83,74.23,74.48,14671318
2023-10-16,74.51,78.02,74.51,76.61,10427540
2023-10-17,76.15,77.23,75.51,76.65,17272985
2023-10-18,76.71,76.71,74.89,75.49,12661029
2023-10-19,75.85,77.0,75.85,76.47,12856447
2023-10-20,75.93,75.93,74.44,75.12,14231219
2023-10-23,74.92,76.04,74.03,75.41,18580030
2023-10-24,74.98,74.98,72.91,73.24,8570451
2023-10-25,73.75,73.75,71.02,71.82,24405566
2023-10-26,71.96,73.51,71.35,72.07,20485559
2023-10-27,71.62,74.22,71.62,72.91,19707868
2023-10-30,72.27,73.83,72.27,73.14,16976973
2023-10-31,73.19,74.09,72.28,73.05,17988209
2023-11-01,72.47,73.48,71.64,72.75,18353564
2023-11-02,72.43,72.43,70.11,71.18,22493549
2023-11-03,71.85,71.85,69.32,70.45,24541471
2023-11-06,69.78,71.0,69.07,70.0,21839094
2023-11-07,70.0,71.51,70.0,71.14,13579079
2023-11-08,70.68,71.7,70.41,71.55,16736347
2023-11-09,71.19,71.19,69.56,69.7,23105101
2023-11-10,70.35,70.92,68.95,70.08,9962165
2023-11-13,70.63,70.63,69.31,69.72,9839433
2023-11-14,69.06,69.17,68.77,69.05,15507324
2023-11-15,69.34,70.96,68.84,69.73,14918889
2023-11-16,69.07,72.03,69.07,70.86,18864147
2023-11-17,70.94,72.81,70.94,71.91,15271476
2023-11-20,72.28,72.28,69.71,71.06,13499593
2023-11-21,71.02,71.59,69.4,70.79,18392287
2023-11-22,70.46,71.81,70.46,71.21,19045415
2023-11-23,70.8,73.33,70.8,72.32,8116739
2023-11-24,72.59,72.59,70.57,71.87,23016740
2023-11-27,71.32,71.77,70.43,71.74,10653093
2023-11-28,71.74,71.74,70.06,70.63,14238795
2023-11-29,70.13,70.13,69.43,69.45,14790968
2023-11-30,69.1,70.75,69.1,70.38,9226476
2023-12-01,70.97,72.85,70.97,71.9,9400283
2023-12-04,71.69,73.02,71.3,71.91,23713642
2023-12-05,72.31,73.36,72.31,73.09,12902666
2023-12-06,73.41,74.01,73.06,73.59,9059622
2023-12-07,73.43,73.87,71.59,72.98,12131479
2023-12-08,72.56,74.85,72.4,73.48,11351278
2023-12-11,72.8,75.67,72.8,75.28,17068026
2023-12-12,75.69,76.25,74.85,75.35,10721864
2023-12-13,75.34,77.35,75.34,77.23,11875754
2023-12-14,76.6,76.6,73.63,74.32,18912996
2023-12-15,73.57,75.35,73.57,75.35,14576651
2023-12-18,75.98,76.11,75.42,75.56,12084752
2023-12-19,75.09,76.77,74.66,75.34,20191037
2023-12-20,75.55,77.0,74.41,75.55,13254224
2023-12-21,76.07,76.07,72.4,73.42,18563214
2023-12-22,73.67,74.3,73.21,73.28,18523401
2023-12-25,73.37,74.65,72.31,73.78,14123769
2023-12-26,74.13,76.0,74.13,75.52,18828463
2023-12-27,75.97,75.97,74.41,75.04,20356830
2023-12-28,74.77,75.52,72.98,74.24,11395049
2023-12-29,74.04,74.73,72.81,73.77,22514363
2024-01-01,73.82,75.6,73.56,74.88,23170521
2024-01-02,74.6,76.43,74.6,75.34,9841648
2024-01-03,75.7,75.7,73.84,74.83,21594639
2024-01-04,74.7,76.13,74.16,75.49,12317922
2024-01-05,76.05,76.99,75.64,75.68,12945169
2024-01-08,76.44,78.29,75.62,76.85,14714301
2024-01-09,76.82,76.82,76.05,76.11,19305231
2024-01-10,76.52,77.12,74.31,75.8,23909784
2024-01-11,76.15,76.15,74.62,75.41,22372528
2024-01-12,75.1,75.1,73.29,73.81,21619492
2024-01-15,74.53,74.53,74.16,74.18,8397710
2024-01-16,73.77,75.09,73.5,74.52,12785956
2024-01-17,74.39,75.73,74.39,74.56,13954878
2024-01-18,74.73,75.74,73.64,74.33,20762264
2024-01-19,74.19,74.19,72.69,72.78,16109916
2024-01-22,72.8,73.29,71.47,72.35,8302186
2024-01-23,71.9,72.25,71.68,71.99,24727556
2024-01-24,72.54,72.54,69.76,71.14,23135763
2024-01-25,71.0,72.4,70.74,70.98,9829553
2024-01-26,71.55,72.12,70.0,71.42,18493666
2024-01-29,71.48,73.78,71.48,73.45,16423309
2024-01-30,73.29,74.91,72.97,73.64,8491036
2024-01-31,74.18,75.24,72.52,73.93,11978702
2024-02-01,73.32,74.81,73.03,73.85,17462743
2024-02-02,74.13,74.13,71.71,71.72,16197295
2024-02-05,71.32,72.4,71.32,71.69,23338444
2024-02-06,71.06,73.03,70.32,71.75,8402732
2024-02-07,72.23,75.11,72.23,74.39,21881178
2024-02-08,74.42,75.45,73.08,74.17,12180303
2024-02-09,74.72,75.48,73.23,74.5,12620650
2024-02-12,73.92,74.81,73.07,74.46,23797914
2024-02-13,75.02,75.02,72.92,73.15,24620937
2024-02-14,73.76,75.62,73.76,74.4,12810833
2024-02-15,74.41,76.47,73.98,75.24,16551646
2024-02-16,75.72,76.7,75.72,76.13,22812143
2024-02-19,76.19,76.19,73.95,75.09,16824031
2024-02-20,74.6,77.96,74.6,76.67,23886372
2024-02-21,76.95,76.95,73.66,75.06,16527171
2024-02-22,74.41,76.19,74.41,75.73,17161408
2024-02-23,76.28,78.32,76.28,78.23,8549148
2024-02-26,78.37,78.37,76.07,77.07,11434955
2024-02-27,76.8,76.8,76.4,76.43,18774986
2024-02-28,76.08,77.6,75.87,76.56,10710626
2024-02-29,77.01,77.01,75.75,75.99,14440010
2024-03-01,76.26,76.26,74.12,74.24,11722946
2024-03-04,74.14,75.75,74.11,74.34,22063918
2024-03-05,74.19,74.19,72.24,73.17,11340216
2024-03-06,72.91,74.36,72.91,73.71,22568974
2024-03-07,74.24,74.24,72.42,72.71,13750283
2024-03-08,72.78,75.26,72.78,74.42,20866619
2024-03-11,74.83,74.83,72.29,73.57,10442266
2024-03-12,73.75,74.47,72.12,73.23,13481140
2024-03-13,72.77,75.5,72.71,74.15,12981262
2024-03-14,73.6,73.6,72.62,72.8,10655971
2024-03-15,72.3,73.88,72.3,73.06,21236949
2024-03-18,73.5,75.38,73.5,74.51,16998604
2024-03-19,74.77,74.77,72.05,72.73,22501229
2024-03-20,72.96,74.36,71.89,72.94,11210016
2024-03-21,73.27,74.63,71.9,73.23,22464087
2024-03-22,73.34,74.31,73.34,74.1,19779534
2024-03-25,74.39,74.39,71.82,72.72,18167207
2024-03-26,72.75,72.75,70.82,71.28,16284960
2024-03-27,71.75,73.1,71.72,71.84,15654502
2024-03-28,72.11,72.34,71.33,72.15,23941617
2024-03-29,72.39,73.59,72.34,72.4,23538122
2024-04-01,72.54,72.94,71.46,72.76,23329502
2024-04-02,73.3,73.3,70.98,72.0,21526705
2024-04-03,72.16,73.13,71.09,72.22,8100734
2024-04-04,72.29,72.62,71.21,72.51,19091989
2024-04-05,72.55,72.55,70.77,71.7,12755469
2024-04-08,71.32,73.78,71.32,73.66,22150540
2024-04-09,73.41,74.85,73.22,74.14,14152941
2024-04-10,74.56,74.56,72.49,72.76,18556086
2024-04-11,72.06,73.48,72.06,73.42,16127125
2024-04-12,73.41,73.41,71.5,72.28,22609307
2024-04-15,71.66,73.37,71.66,73.07,9946830
2024-04-16,73.62,74.66,73.59,74.27,10605214
2024-04-17,74.46,74.46,72.04,73.28,12188891
2024-04-18,72.6,74.82,72.6,74.26,10363999
2024-04-19,74.11,75.52,74.11,74.64,17725345
2024-04-22,75.38,76.67,74.49,75.48,19186361
2024-04-23,75.67,78.95,75.67,77.53,8260116
2024-04-24,77.87,78.28,76.95,77.15,19950831
2024-04-25,76.96,77.1,75.22,76.18,13538166
2024-04-26,76.09,76.09,74.96,75.07,23648245
2024-04-29,75.09,75.34,73.39,74.05,14491878
2024-04-30,74.74,74.74,73.29,73.87,9378369
2024-05-01,74.0,75.42,74.0,74.15,12600108
2024-05-02,74.72,74.72,74.01,74.36,19872847
2024-05-03,74.85,75.96,74.67,75.18,13154048
2024-05-06,75.85,75.85,74.21,75.09,18856760
2024-05-07,74.38,76.89,74.38,76.63,16705956
2024-05-08,77.06,77.06,75.42,76.23,17709175
2024-05-09,76.81,80.52,76.81,79.24,19666027
2024-05-10,80.02,80.75,79.84,79.89,9207068
2024-05-13,79.39,79.77,78.41,78.77,19244602
2024-05-14,78.06,78.06,76.62,77.41,17685684
2024-05-15,76.66,78.63,76.66,77.88,20103896
2024-05-16,77.81,78.53,76.19,77.54,20033451
2024-05-17,76.96,79.12,76.96,78.29,20529971
2024-05-20,78.56,79.87,78.44,78.76,12990961
2024-05-21,78.22,78.9,77.45,78.6,8800101
2024-05-22,78.9,78.9,77.26,77.53,17353526
2024-05-23,76.8,77.19,75.14,75.71,16417233
2024-05-24,75.81,76.07,73.83,75.14,24040922
2024-05-27,75.41,77.46,75.0,76.05,22497054
2024-05-28,76.28,77.24,75.64,76.24,14851803
2024-05-29,75.97,75.97,73.86,74.76,10825896
2024-05-30,74.15,76.4,73.78,74.91,23099203
2024-05-31,75.55,76.28,74.15,75.3,10887698
2024-06-03,75.75,75.75,73.13,74.27,15357804
2024-06-04,74.33,75.62,74.22,74.4,9100500
2024-06-05,74.25,74.92,73.89,74.43,8664468
2024-06-06,74.57,74.57,72.32,73.12,11037099
2024-06-07,72.64,73.51,72.63,73.49,16379341
2024-06-10,73.31,75.0,73.31,74.08,22846767
2024-06-11,74.55,76.53,73.88,75.26,10380932
2024-06-12,75.31,77.03,75.31,76.42,24064554
2024-06-13,76.75,76.75,73.6,74.82,18302330
2024-06-14,74.72,74.72,72.53,73.74,12156532
2024-06-17,74.38,75.62,73.93,74.29,15909699
2024-06-18,73.69,76.24,73.69,74.84,14428540
