Date,Open,High,Low,Close,Volume
2023-08-31,199.29,203.08,199.25,200.0,71569363
2023-09-01,198.43,206.22,198.43,204.15,92456281
2023-09-04,204.17,206.33,202.86,203.21,73215075
2023-09-05,202.67,210.02,202.67,208.69,92017911
2023-09-06,210.86,222.22,210.86,221.63,62321932
2023-09-07,220.04,222.82,219.42,219.81,31643208
2023-09-08,219.69,221.34,215.42,218.02,44012790
2023-09-11,219.65,235.76,219.65,232.08,29742257
2023-09-12,234.18,240.11,234.18,239.51,38161634
2023-09-13,239.87,239.87,231.87,235.36,21135964
2023-09-14,233.92,241.48,233.92,240.81,51808285
2023-09-15,239.56,240.62,235.83,236.71,57617741
2023-09-18,238.46,238.46,231.0,232.67,94926168
2023-09-19,233.68,238.51,233.17,235.29,56640608
2023-09-20,234.13,234.13,215.48,217.67,90790126
2023-09-21,219.32,219.32,200.81,203.01,69818662
2023-09-22,203.52,203.52,195.05,198.79,46704425
2023-09-25,199.25,199.25,188.04,191.08,29496563
2023-09-26,193.01,196.68,191.59,193.81,30321336
2023-09-27,194.72,194.72,186.17,187.1,29803005
2023-09-28,187.08,187.08,174.33,176.86,39908425
2023-09-29,175.4,188.82,175.4,187.53,31606243
2023-10-02,187.54,187.86,183.91,186.16,56982407
2023-10-03,186.99,187.55,186.13,186.99,25525633
2023-10-04,187.22,187.22,174.53,176.65,27726890
2023-10-05,178.24,178.24,170.24,173.1,56940933
2023-10-06,174.66,175.55,172.55,174.16,44062169
2023-10-09,174.53,174.53,164.74,166.42,97782638
2023-10-10,165.08,171.65,165.08,169.19,73689327
2023-10-11,169.88,169.88,162.34,165.4,79220571
2023-10-12,164.01,164.95,163.5,163.72,65084109
2023-10-13,163.57,163.57,157.07,160.03,93684580
2023-10-16,158.74,175.52,158.74,172.13,82671672
2023-10-17,171.19,173.43,171.19,172.29,80749710
2023-10-18,171.74,171.74,165.06,165.24,48088632
2023-10-19,164.89,170.93,164.89,170.91,46395160
2023-10-20,170.8,170.8,159.79,162.8,71913178
2023-10-23,161.89,166.8,161.89,164.37,84164715
2023-10-24,164.61,164.61,150.95,151.7,59785651
2023-10-25,151.31,151.31,141.21,143.84,97688894
2023-10-26,143.01,145.96,143.01,145.15,85170480
2023-10-27,144.1,150.16,144.1,149.62,55966581
2023-10-30,148.67,153.43,148.67,150.83,98795078
2023-10-31,151.59,152.11,150.12,150.32,99594423
2023-11-01,149.4,151.36,148.08,148.69,42761900
