Date,Open,High,Low,Close,Volume
2023-08-31,149.47,152.31,149.44,150.0,71569363
2023-09-01,148.83,153.86,148.83,152.31,92456281
2023-09-04,152.33,154.1,151.5,151.77,73215075
2023-09-05,151.36,155.79,151.36,154.8,92017911
2023-09-06,156.39,162.4,156.39,161.97,62321932
2023-09-07,160.81,163.13,160.65,160.93,31643208
2023-09-08,160.84,162.34,158.0,159.91,44012790
2023-09-11,161.08,170.25,161.08,167.59,29742257
2023-09-12,169.09,171.99,169.06,171.56,38161634
2023-09-13,171.82,171.82,166.76,169.27,21135964
2023-09-14,168.24,172.63,168.24,172.15,51808285
2023-09-15,171.26,172.7,169.26,169.89,57617741
2023-09-18,171.16,171.16,166.45,167.65,94926168
2023-09-19,168.38,171.32,167.48,169.01,56640608
2023-09-20,168.15,168.15,157.85,159.45,90790126
2023-09-21,160.68,160.68,149.69,151.34,69818662
2023-09-22,151.72,151.72,146.12,148.92,46704425
2023-09-25,149.27,149.27,142.23,144.53,29496563
2023-09-26,145.98,148.19,144.35,146.03,30321336
2023-09-27,146.72,146.72,141.48,142.19,29803005
2023-09-28,142.17,142.17,134.36,136.3,39908425
2023-09-29,135.19,143.41,135.19,142.43,31606243
2023-10-02,142.44,142.91,139.9,141.61,56982407
2023-10-03,142.24,142.47,141.4,142.05,25525633
2023-10-04,142.23,142.23,134.5,136.13,27726890
2023-10-05,137.36,137.36,131.84,134.05,56940933
2023-10-06,135.26,135.73,133.4,134.65,44062169
2023-10-09,134.94,134.94,128.83,130.15,97782638
2023-10-10,129.1,133.68,129.1,131.76,73689327
2023-10-11,132.3,132.3,127.15,129.54,79220571
2023-10-12,128.46,129.52,128.38,128.56,65084109
2023-10-13,128.44,128.76,124.06,126.39,93684580
2023-10-16,125.39,136.2,125.39,133.57,82671672
2023-10-17,132.84,134.57,132.84,133.68,80749710
2023-10-18,133.26,133.26,129.47,129.61,48088632
2023-10-19,129.34,132.98,129.34,132.97,46395160
2023-10-20,132.88,132.88,125.9,128.27,71913178
2023-10-23,127.56,131.15,127.56,129.24,84164715
2023-10-24,129.43,129.43,121.21,121.81,59785651
2023-10-25,121.49,121.49,114.98,117.12,97688894
2023-10-26,116.44,118.62,116.44,117.97,85170480
2023-10-27,117.12,121.17,117.12,120.74,55966581
2023-10-30,119.97,123.62,119.97,121.53,98795078
2023-10-31,122.13,122.72,121.11,121.27,99594423
2023-11-01,120.53,122.51,119.85,120.35,42761900
2023-11-02,120.55,120.55,113.25,115.18,74952704
2023-11-03,115.23,115.23,111.83,112.85,34013403
2023-11-06,113.44,113.44,110.35,111.45,59648899
2023-11-07,112.48,115.57,112.48,115.15,30669435
2023-11-08,115.94,118.37,114.22,116.5,31484508
2023-11-09,115.96,115.96,109.29,110.51,56992982
2023-11-10,109.62,113.24,109.62,111.74,49822180
2023-11-13,111.16,111.16,109.17,110.61,44444321
2023-11-14,110.84,110.84,106.38,108.53,96106218
2023-11-15,107.74,112.81,107.74,110.68,20611213
2023-11-16,109.57,114.94,109.57,114.27,93678496
2023-11-17,113.52,118.12,113.52,117.63,96989724
2023-11-20,118.36,118.36,112.8,114.85,60473321
2023-11-21,113.78,115.83,113.12,113.95,97973011
2023-11-22,114.07,116.69,114.07,115.25,94380340
2023-11-23,115.88,119.5,115.88,118.8,84910615
2023-11-24,119.94,119.94,115.94,117.27,29944790
2023-11-27,116.15,118.66,115.8,116.79,64599847
2023-11-28,116.16,116.16,112.18,113.09,86374125
2023-11-29,112.37,112.37,108.05,109.2,98987338
2023-11-30,109.91,113.87,109.91,112.03,40080673
2023-12-01,112.8,118.05,112.8,116.75,75098996
2023-12-04,117.69,117.69,116.36,116.68,77701082
2023-12-05,117.07,121.8,117.07,120.36,66361481
2023-12-06,120.08,124.08,120.08,121.85,87800621
2023-12-07,122.42,122.42,119.27,119.67,60381731
2023-12-08,120.49,123.01,120.49,121.15,71207679
2023-12-11,121.43,129.24,121.43,126.91,70709813
2023-12-12,128.02,128.17,125.28,126.96,79365444
2023-12-13,127.07,134.4,127.07,133.11,44755666
2023-12-14,133.1,133.1,122.72,122.84,33283692
2023-12-15,122.78,126.44,122.78,126.05,22721864
2023-12-18,126.04,126.75,124.72,126.56,23875754
2023-12-19,125.49,127.11,124.45,125.61,85564145
2023-12-20,125.03,128.15,124.38,126.13,60131083
2023-12-21,127.12,127.12,118.57,118.79,70760636
2023-12-22,118.84,120.04,116.54,118.17,65745469
2023-12-25,118.5,121.89,117.79,119.6,58808656
2023-12-26,120.47,126.72,120.47,125.07,30563214
2023-12-27,125.49,125.49,123.17,123.29,75471391
2023-12-28,122.52,122.52,118.24,120.47,43387092
2023-12-29,119.57,119.94,118.08,118.82,72715014
2024-01-01,119.97,122.97,119.97,122.24,49061846
2024-01-02,121.14,125.57,121.14,123.61,95779042
2024-01-03,122.48,122.58,119.78,121.8,30822814
2024-01-04,121.75,124.74,121.75,123.83,62942594
2024-01-05,124.39,126.08,123.51,124.35,32267883
2024-01-08,124.45,129.59,124.45,128.12,43215061
2024-01-09,129.09,129.09,124.01,125.58,27152747
2024-01-10,126.5,126.5,124.44,124.5,21020154
2024-01-11,125.58,125.58,121.88,123.18,95304674
2024-01-12,122.13,122.13,117.9,117.92,47259197
2024-01-15,118.81,120.25,117.61,119.1,85856750
2024-01-16,118.71,121.13,118.71,120.17,78075712
2024-01-17,119.82,120.9,119.82,120.33,45722525
2024-01-18,120.54,121.65,117.9,119.61,96767936
2024-01-19,118.72,118.72,114.56,114.66,91425912
2024-01-22,115.68,115.68,112.84,113.34,41882940
2024-01-23,114.42,114.42,110.97,112.29,59509310
2024-01-24,112.54,112.54,108.68,109.7,66316696
2024-01-25,109.49,110.91,109.14,109.28,70763061
2024-01-26,108.68,112.06,108.68,110.71,59043896
2024-01-29,111.37,117.6,111.37,117.08,47381509
2024-01-30,116.42,119.69,116.32,117.81,98427656
2024-01-31,117.03,121.03,116.46,118.82,85489314
2024-02-01,118.0,120.46,117.01,118.66,34315679
2024-02-02,119.22,119.22,110.54,111.94,35527000
2024-02-05,111.02,113.27,110.64,111.94,30569320
2024-02-06,111.89,113.11,111.62,112.23,76378562
2024-02-07,112.98,122.92,112.98,120.62,90706570
2024-02-08,120.31,120.31,119.03,120.01,61892167
2024-02-09,120.09,122.88,120.09,121.19,26155579
2024-02-12,122.38,122.38,118.98,121.15,53957164
2024-02-13,121.91,121.91,115.6,116.99,37434167
2024-02-14,117.87,122.68,117.87,121.08,85111328
2024-02-15,121.47,126.07,121.47,123.89,49342048
2024-02-16,123.47,127.3,123.47,126.91,62827096
2024-02-19,127.4,127.4,123.26,123.52,27393979
2024-02-20,124.48,129.2,124.48,128.79,37486878
2024-02-21,128.38,128.38,123.12,123.44,30528294
2024-02-22,124.28,126.09,123.63,125.68,52073692
2024-02-23,124.57,134.7,124.57,134.0,79844250
2024-02-26,133.38,133.38,128.44,130.08,58679227
2024-02-27,129.13,129.13,125.84,127.93,28989138
2024-02-28,129.12,130.32,126.98,128.37,93663899
2024-02-29,127.36,128.08,124.12,126.48,95176851
2024-03-01,126.0,126.0,120.48,120.65,40833173
2024-03-04,119.58,122.65,119.58,120.94,72374647
2024-03-05,122.05,122.05,115.08,117.12,20549148
2024-03-06,117.35,119.88,117.28,118.82,56989387
2024-03-07,118.41,118.41,115.53,115.58,46996639
2024-03-08,115.45,122.84,115.45,120.98,49221379
2024-03-11,120.19,120.19,117.1,118.17,78237814
2024-03-12,118.96,118.98,116.35,117.05,68548947
2024-03-13,118.13,121.5,118.13,119.93,20224695
2024-03-14,119.74,119.74,113.34,115.52,78093498
2024-03-15,115.38,118.56,114.55,116.32,33245696
2024-03-18,116.91,121.67,116.91,120.89,75229602
2024-03-19,120.59,120.59,113.58,115.07,31950571
2024-03-20,114.35,116.82,113.48,115.72,89551130
2024-03-21,116.01,118.6,114.85,116.63,46821567
2024-03-22,117.74,120.07,117.19,119.37,85658413
2024-03-25,119.59,119.59,114.93,114.94,78224509
2024-03-26,114.27,114.27,109.43,110.38,39651515
2024-03-27,109.86,112.25,109.86,112.1,90047063
2024-03-28,111.31,114.08,110.87,113.1,62721553
2024-03-29,114.18,115.49,113.03,113.94,33476005
2024-04-01,114.77,115.78,113.51,115.11,26737320
2024-04-02,114.22,114.22,111.66,112.75,58836811
2024-04-03,112.74,115.76,112.74,113.52,84274067
2024-04-04,114.53,115.29,112.72,114.5,62590048
2024-04-05,114.16,114.16,111.82,112.02,28388512
2024-04-08,111.6,120.22,111.6,118.27,57436581
2024-04-09,118.99,121.29,118.27,119.92,74332385
2024-04-10,120.97,120.97,114.06,115.61,21443717
2024-04-11,115.88,119.26,115.88,117.86,95530792
2024-04-12,118.35,118.35,112.39,114.38,29331795
2024-04-15,113.4,117.84,113.4,117.05,90189955
2024-04-16,117.0,122.53,117.0,121.08,60819838
2024-04-17,120.1,120.1,116.34,118.06,34150540
2024-04-18,117.65,122.6,117.65,121.44,26152941
2024-04-19,122.15,123.73,122.15,122.9,30556086
2024-04-22,121.69,126.0,121.69,125.89,61681557
2024-04-23,125.87,133.89,125.87,133.01,71721929
2024-04-24,132.79,133.04,131.39,131.98,89055694
2024-04-25,132.93,132.93,127.75,128.94,56159646
2024-04-26,129.26,129.26,123.32,125.45,91297755
2024-04-29,124.32,124.32,119.91,122.33,80111794
2024-04-30,122.88,123.4,120.92,121.99,96961279
2024-05-01,122.71,124.68,121.71,123.19,31186361
2024-05-02,123.49,126.42,123.49,124.16,48175911
2024-05-03,124.86,129.31,124.86,127.18,31950831
2024-05-06,126.86,128.7,125.56,127.17,74181889
2024-05-07,127.15,133.14,127.15,132.66,35648245
2024-05-08,132.7,133.83,130.37,131.54,86500568
2024-05-09,131.98,144.1,131.98,142.22,22844664
2024-05-10,140.79,145.97,140.79,144.82,41320139
2024-05-13,144.69,144.69,138.29,141.02,94304906
2024-05-14,140.56,140.56,135.22,136.42,68436828
2024-05-15,136.23,139.26,136.04,138.33,67602635
2024-05-16,137.42,139.28,136.88,137.34,43284856
2024-05-17,137.43,141.91,137.43,140.21,22320688
2024-05-20,140.45,144.53,139.84,142.13,98774891
2024-05-21,143.51,143.51,141.65,141.75,73175588
2024-05-22,140.7,140.7,137.97,138.08,83131845
2024-05-23,137.03,137.03,131.5,131.73,64336333
2024-05-24,131.68,131.69,128.87,129.9,41217066
2024-05-27,131.16,133.22,131.16,133.17,95643942
2024-05-28,133.14,135.18,132.58,133.96,65587883
2024-05-29,133.02,133.02,128.57,128.89,99638835
2024-05-30,129.34,131.32,128.98,129.5,24990961
2024-05-31,128.6,131.43,128.6,130.93,87908965
2024-06-03,131.42,131.42,126.95,127.4,62439798
2024-06-04,127.39,130.34,126.18,127.92,98929433
2024-06-05,126.72,130.31,126.63,128.09,81247832
2024-06-06,127.39,127.39,121.96,123.64,31319247
2024-06-07,123.83,126.97,123.24,124.91,40717501
2024-06-10,123.76,128.62,123.76,126.95,56181576
2024-06-11,127.61,133.29,127.61,131.02,39397196
2024-06-12,131.43,135.89,131.43,135.11,85244261
2024-06-13,135.9,135.9,127.74,129.47,72764241
2024-06-14,130.39,130.39,124.97,125.77,22887296
2024-06-17,124.51,127.97,124.51,127.66,71908238
2024-06-18,127.83,131.22,127.83,129.58,43277458
2024-06-19,128.89,132.56,128.89,131.54,49718818
2024-06-20,131.84,147.36,131.84,146.69,71379821
2024-06-21,146.69,151.07,146.69,149.15,67732820
2024-06-24,149.09,156.84,149.09,154.18,25438684
2024-06-25,153.86,159.63,153.86,158.54,95902244
2024-06-26,158.2,162.39,158.2,161.59,98014806
2024-06-27,163.05,163.05,157.72,160.02,98308332
2024-06-28,161.31,166.31,161.31,163.61,57710964
2024-07-01,164.98,164.98,159.0,159.78,61464131
2024-07-02,158.51,161.57,157.49,158.6,93537404
2024-07-03,159.13,159.13,154.62,156.26,24338843
2024-07-04,156.6,158.29,155.63,156.61,54253388
2024-07-05,155.54,168.83,155.54,167.45,87284075
2024-07-08,168.11,168.11,156.38,158.04,76379703
2024-07-09,159.39,163.83,159.39,161.27,98500947
2024-07-10,161.42,161.42,150.97,153.44,72237687
2024-07-11,151.94,152.84,150.91,151.25,75771029
2024-07-12,150.4,158.73,150.4,156.18,94006537
2024-07-15,157.45,157.45,155.34,156.46,61538255
2024-07-16,155.86,155.86,150.62,151.4,76728215
2024-07-17,151.89,151.89,146.88,148.14,27667857
2024-07-18,147.91,153.47,147.91,151.16,70526894
2024-07-19,151.08,151.08,145.27,147.85,37644180
2024-07-22,148.27,149.09,148.27,148.81,77312219
2024-07-23,148.08,149.63,147.12,149.02,50131276
2024-07-24,150.44,150.44,144.66,146.12,69133346
2024-07-25,145.94,157.38,145.94,155.53,55609212
2024-07-26,157.08,160.78,156.31,158.5,34578363
2024-07-29,158.02,158.02,147.1,148.89,92668141
2024-07-30,149.18,150.54,147.82,149.75,66692999
2024-07-31,150.09,150.09,145.79,146.8,41088012
2024-08-01,147.71,152.15,147.71,150.59,84261658
2024-08-02,150.86,150.86,146.24,147.04,27334901
2024-08-05,146.13,147.25,145.23,146.57,34931115
2024-08-06,147.26,150.8,147.17,148.83,97202069
2024-08-07,147.84,154.46,147.84,152.74,30758430
2024-08-08,152.48,152.48,146.79,147.29,90605469
2024-08-09,146.85,147.18,143.66,145.87,57201803
